month,cpi_u_nsa
1990-02,128.0
1990-03,128.7
1990-04,128.9
1990-05,129.2
1990-06,129.9
1990-07,130.4
1990-08,131.6
1990-09,132.7
1990-10,133.5
1990-11,133.8
1990-12,133.8
1991-01,134.6
1991-02,134.8
1991-03,135.0
1991-04,135.2
1991-05,135.6
1991-06,136.0
1991-07,136.2
1991-08,136.6
1991-09,137.2
1991-10,137.4
1991-11,137.8
1991-12,137.9
1992-01,138.1
1992-02,138.6
1992-03,139.3
1992-04,139.5
1992-05,139.7
1992-06,140.2
1992-07,140.5
1992-08,140.9
1992-09,141.3
1992-10,141.8
1992-11,142.0
1992-12,141.9
1993-01,142.6
1993-02,143.1
1993-03,143.6
1993-04,144.0
1993-05,144.2
1993-06,144.4
1993-07,144.4
1993-08,144.8
1993-09,145.1
1993-10,145.7
1993-11,145.8
1993-12,145.8
1994-01,146.2
1994-02,146.7
1994-03,147.2
1994-04,147.4
1994-05,147.5
1994-06,148.0
1994-07,148.4
1994-08,149.0
1994-09,149.4
1994-10,149.5
1994-11,149.7
1994-12,149.7
1995-01,150.3
1995-02,150.9
1995-03,151.4
1995-04,151.9
1995-05,152.2
1995-06,152.5
1995-07,152.5
1995-08,152.9
1995-09,153.2
1995-10,153.7
1995-11,153.6
1995-12,153.5
1996-01,154.4
1996-02,154.9
1996-03,155.7
1996-04,156.3
1996-05,156.6
1996-06,156.7
1996-07,157.0
1996-08,157.3
1996-09,157.8
1996-10,158.3
1996-11,158.6
1996-12,158.6
1997-01,159.1
1997-02,159.6
1997-03,160.0
1997-04,160.2
1997-05,160.1
1997-06,160.3
1997-07,160.5
1997-08,160.8
1997-09,161.2
1997-10,161.6
1997-11,161.5
1997-12,161.3
1998-01,161.6
1998-02,161.9
1998-03,162.2
1998-04,162.5
1998-05,162.8
1998-06,163.0
1998-07,163.2
1998-08,163.4
1998-09,163.6
1998-10,164.0
1998-11,164.0
1998-12,163.9
1999-01,164.3
1999-02,164.5
1999-03,165.0
1999-04,166.2
1999-05,166.2
1999-06,166.2
1999-07,166.7
1999-08,167.1
1999-09,167.9
1999-10,168.2
1999-11,168.3
1999-12,168.3
2000-01,168.8
2000-02,169.8
2000-03,171.2
2000-04,171.3
2000-05,171.5
2000-06,172.4
2000-07,172.8
2000-08,172.8
2000-09,173.7
2000-10,174.0
2000-11,174.1
2000-12,174.0
2001-01,175.1
2001-02,175.8
2001-03,176.2
2001-04,176.9
2001-05,177.7
2001-06,178.0
2001-07,177.5
2001-08,177.5
2001-09,178.3
2001-10,177.7
2001-11,177.4
2001-12,176.7
2002-01,177.1
2002-02,177.8
2002-03,178.8
2002-04,179.8
2002-05,179.8
2002-06,179.9
2002-07,180.1
2002-08,180.7
2002-09,181.0
2002-10,181.3
2002-11,181.3
2002-12,180.9
2003-01,181.7
2003-02,183.1
2003-03,184.2
2003-04,183.8
2003-05,183.5
2003-06,183.7
2003-07,183.9
2003-08,184.6
2003-09,185.2
2003-10,185.0
2003-11,184.5
2003-12,184.3
2004-01,185.2
2004-02,186.2
2004-03,187.4
2004-04,188.0
2004-05,189.1
2004-06,189.7
2004-07,189.4
2004-08,189.5
2004-09,189.9
2004-10,190.9
2004-11,191.0
2004-12,190.3
2005-01,190.7
2005-02,191.8
2005-03,193.3
2005-04,194.6
2005-05,194.4
2005-06,194.5
2005-07,195.4
2005-08,196.4
2005-09,198.8
2005-10,199.2
2005-11,197.6
2005-12,196.8
2006-01,198.3
2006-02,198.7
2006-03,199.8
2006-04,201.5
2006-05,202.5
2006-06,202.9
2006-07,203.5
2006-08,203.9
2006-09,202.9
2006-10,201.8
2006-11,201.5
2006-12,201.8
2007-01,202.416
2007-02,203.499
2007-03,205.352
2007-04,206.686
2007-05,207.949
2007-06,208.352
2007-07,208.299
2007-08,207.917
2007-09,208.49
2007-10,208.936
2007-11,210.177
2007-12,210.036
2008-01,211.08
2008-02,211.693
2008-03,213.528
2008-04,214.823
2008-05,216.632
2008-06,218.815
2008-07,219.964
2008-08,219.086
2008-09,218.783
2008-10,216.573
2008-11,212.425
2008-12,210.228
2009-01,211.143
2009-02,212.193
2009-03,212.709
2009-04,213.24
2009-05,213.856
2009-06,215.693
2009-07,215.351
2009-08,215.834
2009-09,215.969
2009-10,216.177
2009-11,216.33
2009-12,215.949
2010-01,216.687
2010-02,216.741
2010-03,217.631
2010-04,218.009
2010-05,218.178
2010-06,217.965
2010-07,218.011
2010-08,218.312
2010-09,218.439
2010-10,218.711
2010-11,218.803
2010-12,219.179
2011-01,220.223
2011-02,221.309
2011-03,223.467
2011-04,224.906
2011-05,225.964
2011-06,225.722
2011-07,225.922
2011-08,226.545
2011-09,226.889
2011-10,226.421
2011-11,226.23
2011-12,225.672
2012-01,226.665
2012-02,227.663
2012-03,229.392
2012-04,230.085
2012-05,229.815
2012-06,229.478
2012-07,229.104
2012-08,230.379
2012-09,231.407
2012-10,231.317
2012-11,230.221
2012-12,229.601
2013-01,230.28
2013-02,232.166
2013-03,232.773
2013-04,232.531
2013-05,232.945
2013-06,233.504
2013-07,233.596
2013-08,233.877
2013-09,234.149
2013-10,233.546
2013-11,233.069
2013-12,233.049
2014-01,233.916
2014-02,234.781
2014-03,236.293
2014-04,237.072
2014-05,237.9
2014-06,238.343
2014-07,238.25
2014-08,237.852
2014-09,238.031
2014-10,237.433
2014-11,236.151
2014-12,234.812
2015-01,233.707
2015-02,234.722
2015-03,236.119
2015-04,236.599
2015-05,237.805
2015-06,238.638
2015-07,238.654
2015-08,238.316
2015-09,237.945
2015-10,237.838
2015-11,237.336
2015-12,236.525
2016-01,236.916
2016-02,237.111
2016-03,238.132
2016-04,239.261
2016-05,240.229
2016-06,241.018
2016-07,240.628
2016-08,240.849
2016-09,241.428
2016-10,241.729
2016-11,241.353
2016-12,241.432
2017-01,242.839
2017-02,243.603
2017-03,243.801
2017-04,244.524
2017-05,244.733
2017-06,244.955
2017-07,244.786
2017-08,245.519
2017-09,246.819
2017-10,246.663
2017-11,246.669
2017-12,246.524
2018-01,247.867
2018-02,248.991
2018-03,249.554
2018-04,250.546
2018-05,251.588
2018-06,251.989
2018-07,252.006
2018-08,252.146
2018-09,252.439
2018-10,252.885
2018-11,252.038
2018-12,251.233
2019-01,251.712
2019-02,252.776
2019-03,254.202
2019-04,255.548
2019-05,256.092
2019-06,256.143
2019-07,256.571
2019-08,256.558
2019-09,256.759
2019-10,257.346
2019-11,257.208
2019-12,256.974
2020-01,257.971
2020-02,258.678
2020-03,258.115
2020-04,256.389
2020-05,256.394
2020-06,257.797
2020-07,259.101
2020-08,259.918
2020-09,260.28
2020-10,260.388
2020-11,260.229
2020-12,260.474
2021-01,261.582
2021-02,263.014
2021-03,264.877
2021-04,267.054
2021-05,269.195
2021-06,271.696
2021-07,273.003
2021-08,273.567
2021-09,274.31
2021-10,276.589
2021-11,277.948
2021-12,278.802
2022-01,281.148
2022-02,283.716
2022-03,287.504
2022-04,289.109
2022-05,292.296
2022-06,296.311
2022-07,296.276
2022-08,296.171
2022-09,296.808
2022-10,298.012
2022-11,297.711
2022-12,296.797
2023-01,299.17
2023-02,300.84
2023-03,301.836
2023-04,303.363
2023-05,304.127
2023-06,305.109
2023-07,305.691
2023-08,307.026
2023-09,307.789
2023-10,307.671
2023-11,307.051
2023-12,306.746
2024-01,308.417
2024-02,310.326
2024-03,312.332
2024-04,313.548
2024-05,314.069
2024-06,314.175
2024-07,314.54
2024-08,314.796
2024-09,315.301
2024-10,315.664
2024-11,315.493
2024-12,315.605
2025-01,317.671
2025-02,319.082
2025-03,319.799
2025-04,320.795
2025-05,321.465
2025-06,322.561
2025-07,323.048
2025-08,323.976
2025-09,324.8
2025-11,324.122
2025-12,324.054
2026-01,325.252
2026-02,326.785
2026-03,330.213
2026-04,333.02
2026-05,335.123
2026-06,333.952
